id,label,category,medianMs,msPerPass,meanMs,p95Ms,p99Ms,sdMs,cvPct,marginalMs,marginalMsAtRef,marginalPoints,points,avgFps,thermalDrift,frameCount,outlierCount
ref_baseline,"Flat Color (baseline)",baseline,0.5128,0.52729,0.5117,0.5436,0.567,0.0268,5.23,0,0,0,6,1954.4,1.014,60,0
noise_perlin,"Perlin",noise,1.0556,1.05287,1.0459,1.0867,1.0879,0.0238,2.28,0.5256,2.2843,27,13,956.1,1,60,5
noise_perlinVec3,"Perlin (vec3)",noise,1.4619,1.43184,1.4591,1.52,1.5472,0.0273,1.87,0.9045,3.9313,47,17,685.4,0.995,60,8
noise_fbm,"fBm",noise,2.4379,2.45691,2.4325,2.4996,2.5182,0.0426,1.75,1.9296,8.3865,101,29,411.1,0.99,60,0
noise_fbmVec3,"fBm (vec3)",noise,4.1251,4.12146,4.1262,4.1722,4.1753,0.0293,0.71,3.5942,15.621,188,49,242.4,1.001,60,3
noise_cellNoise,"Cell Noise",noise,0.5037,0.51981,0.4948,0.5349,0.562,0.0325,6.57,-0.0075,-0.0325,0,6,2021,1.053,60,0
noise_voronoi,"Voronoi F1",noise,5.1633,5.1108,5.1669,5.2195,5.2493,0.034,0.66,4.5835,19.9208,239,61,193.5,0.996,60,1
noise_voronoiVec2,"Voronoi F1/F2",noise,5.3616,5.35639,5.3653,5.4139,5.4303,0.032,0.6,4.8291,20.9882,252,64,186.4,0.826,60,12
noise_voronoiVec3,"Voronoi F1/F2/F3",noise,5.1745,5.12031,5.1958,5.4648,5.5163,0.1511,2.91,4.593,19.9621,240,61,192.5,1.135,60,11
